motif1_Reduced50	motif2_Reduced50	motif3_Reduced50	motif1_Reduced100	motif2_Reduced100	motif3_Reduced100	motif1_Reduced200	motif2_Reduced200	motif4_Reduced200	motif1_Raw	motif2_Raw	motif3_Raw
motif1_Reduced50	1	0.299258112769002	0.658581644314542	0.952037945057438	0.531431315937554	0.563696882559973	0.924609371161426	0.236384280022169	0.326417043336076	0.94338913821641	0.531316511478638	0.540359947526865
motif2_Reduced50	0.299258112769002	1	0.175528574887737	0.30456759951393	0.935967177780486	0.301835483222919	0.138708252079759	0.0508329414043325	0.377561159457728	0.203547345949837	0.86404697886434	0.218267320737193
motif3_Reduced50	0.658581644314542	0.175528574887737	1	0.703275710611239	0.294687241964058	0.390855609105732	0.661128487807361	0.310580423736041	0.249303176104437	0.650179343045915	0.30305942623281	0.487562577687689
motif1_Reduced100	0.952037945057438	0.30456759951393	0.703275710611239	1	0.456478305773914	0.547332549981015	0.77377268149612	0.223361499825908	0.347845229636548	0.802534994486028	0.463500514752276	0.539454799522085
motif2_Reduced100	0.531431315937554	0.935967177780486	0.294687241964058	0.456478305773914	1	0.352331300446692	0.457731743073025	0.107131419593674	0.574271722609557	0.459812697358482	0.951810112686747	0.173073294279717
motif3_Reduced100	0.563696882559973	0.301835483222919	0.390855609105732	0.547332549981015	0.352331300446692	1	0.473967143607121	0.248552235310011	0.354577105184397	0.548244992062105	0.286051866938139	0.327375704292152
motif1_Reduced200	0.924609371161426	0.138708252079759	0.661128487807361	0.77377268149612	0.457731743073025	0.473967143607121	1	0.310185363302841	0.307797332384033	0.972550295364832	0.467910679290517	0.525474059387068
motif2_Reduced200	0.236384280022169	0.0508329414043325	0.310580423736041	0.223361499825908	0.107131419593674	0.248552235310011	0.310185363302841	1	0.331739646107004	0.272031565844392	0.0916710559276446	0.161426083097366
motif4_Reduced200	0.326417043336076	0.377561159457728	0.249303176104437	0.347845229636548	0.574271722609557	0.354577105184397	0.307797332384033	0.331739646107004	1	0.381732465790603	0.557409464729474	0.0233058673596368
motif1_Raw	0.94338913821641	0.203547345949837	0.650179343045915	0.802534994486028	0.459812697358482	0.548244992062105	0.972550295364832	0.272031565844392	0.381732465790603	1	0.469490775083556	0.492992049104189
motif2_Raw	0.531316511478638	0.86404697886434	0.30305942623281	0.463500514752276	0.951810112686747	0.286051866938139	0.467910679290517	0.0916710559276446	0.557409464729474	0.469490775083556	1	0.133326519212609
motif3_Raw	0.540359947526865	0.218267320737193	0.487562577687689	0.539454799522085	0.173073294279717	0.327375704292152	0.525474059387068	0.161426083097366	0.0233058673596368	0.492992049104189	0.133326519212609	1
