motif1_Reduced50	motif2_Reduced50	motif3_Reduced50	motif1_Reduced100	motif2_Reduced100	motif3_Reduced100	motif1_Reduced200	motif2_Reduced200	motif3_Reduced200	motif1_Raw	motif2_Raw	motif3_Raw
motif1_Reduced50	1	0.225604107823038	0.398909778676874	0.96489925666688	0.397615577538824	0.561682242365158	0.958761534909465	0.308700287354078	0.580231919471366	0.94658209992858	0.545163730492766	0.313552985152282
motif2_Reduced50	0.225604107823038	1	0.618434138579322	0.254431497676364	0.287821095977931	0.302358071480369	0.226142697896342	NA	0.120831707392886	0.204526007776099	0.89892443465196	0.352779852209457
motif3_Reduced50	0.398909778676874	0.618434138579322	1	0.394016549253912	0.104054125096062	0.369029042979853	0.511551647571291	NA	0.256695368539011	0.512609240874355	0.680542665647728	0.289425070147803
motif1_Reduced100	0.96489925666688	0.254431497676364	0.394016549253912	1	0.432628795567629	0.532584581266601	0.920121409430717	0.291343692169323	0.544431625925589	0.904800565061676	0.528099348477435	0.320199561619851
motif2_Reduced100	0.397615577538824	0.287821095977931	0.104054125096062	0.432628795567629	1	0.215536297914261	0.474757104833539	NA	0.202037696351574	0.452741629355955	0.0499502458802515	0.339629417479012
motif3_Reduced100	0.561682242365158	0.302358071480369	0.369029042979853	0.532584581266601	0.215536297914261	1	0.585998311301913	NA	0.218019450293303	0.595833226284762	0.376688944317445	0.45961520678349
motif1_Reduced200	0.958761534909465	0.226142697896342	0.511551647571291	0.920121409430717	0.474757104833539	0.585998311301913	1	0.377489938079267	0.611408112713342	0.998438993244168	0.601567477789929	0.214380147588881
motif2_Reduced200	0.308700287354078	NA	NA	0.291343692169323	NA	NA	0.377489938079267	1	0.149202154109056	0.378386782580784	0.564979284427208	NA
motif3_Reduced200	0.580231919471366	0.120831707392886	0.256695368539011	0.544431625925589	0.202037696351574	0.218019450293303	0.611408112713342	0.149202154109056	1	0.609208339105467	0.328572981134182	0.407593508632041
motif1_Raw	0.94658209992858	0.204526007776099	0.512609240874355	0.904800565061676	0.452741629355955	0.595833226284762	0.998438993244168	0.378386782580784	0.609208339105467	1	0.603070456506108	0.210924990365244
motif2_Raw	0.545163730492766	0.89892443465196	0.680542665647728	0.528099348477435	0.0499502458802515	0.376688944317445	0.601567477789929	0.564979284427208	0.328572981134182	0.603070456506108	1	0.452504144140208
motif3_Raw	0.313552985152282	0.352779852209457	0.289425070147803	0.320199561619851	0.339629417479012	0.45961520678349	0.214380147588881	NA	0.407593508632041	0.210924990365244	0.452504144140208	1
